cycle,pangle,af,cmode
236,27.8666667,14.7,1.0,16.0
237,27.9,14.7,1.0,16.0
238,27.9333333,14.7,1.0,16.0
239,27.9666667,14.7,1.0,16.0
240,28.0,14.7,1.0,16.0
241,28.0333333,14.7,1.0,16.0
242,28.0666667,14.7,1.0,16.0
243,28.1,14.7,1.0,16.0
244,28.1333333,14.7,1.0,16.0
245,28.1666667,14.7,1.0,16.0
246,28.2,14.7,1.0,16.0
247,28.2333333,14.7,1.0,16.0
248,28.2666667,14.7,1.0,16.0
249,28.3,14.7,1.0,16.0
250,28.3333333,14.7,1.0,16.0
251,28.3666667,14.7,1.0,16.0
252,28.4,14.7,1.0,16.0
253,28.4333333,14.7,1.0,16.0
254,28.4666667,14.7,1.0,16.0
255,28.5,14.7,1.0,16.0
256,28.5333333,14.7,1.0,16.0
257,28.5666667,14.7,1.0,16.0
258,28.6,14.7,1.0,16.0
259,28.6333333,14.7,1.0,16.0
260,28.6666667,14.7,1.0,16.0
261,28.7,14.7,1.0,16.0
262,28.7333333,14.7,1.0,16.0
263,28.7666667,14.7,1.0,16.0
264,28.8,14.7,1.0,16.0
265,28.8333333,14.7087199,1.0,16.0
266,28.8666667,14.7261279,1.0,16.0
267,28.9,14.7517256,1.0,16.0
268,28.9333333,14.7850404,1.0,16.0
269,28.9666667,14.8256236,1.0,16.0
270,29.0,14.8730502,1.0,16.0
271,29.0333333,14.9269167,1.0,16.0
272,29.0666667,14.9867508,1.0,16.0
273,29.1,15.0476342,1.0,16.0
274,29.1333333,15.106351,1.0,16.0
275,29.1666667,15.1628117,1.0,16.0
276,29.2,15.2171238,1.0,16.0
277,29.2333333,15.26939,1.0,16.0
278,29.2666667,15.3197086,1.0,16.0
279,29.3,15.3681732,1.0,16.0
280,29.3333333,15.4148734,1.0,16.0
281,29.3666667,15.4598867,1.0,16.0
282,29.4,15.5032487,1.0,16.0
283,29.4333333,15.545024,1.0,16.0
284,29.4666667,15.5852906,1.0,16.0
285,29.5,15.6241235,1.0,16.0
286,29.5333333,15.6615943,1.0,16.0
287,29.5666667,15.6977714,1.0,16.0
288,29.6,15.7327201,1.0,16.0
289,29.6333333,15.7665025,1.0,16.0
290,29.6666667,15.7991604,1.0,16.0
291,29.7,15.8306881,1.0,16.0
292,29.7333333,15.8611323,1.0,16.0
293,29.7666667,15.8905497,1.0,16.0
294,29.8,15.9189943,1.0,16.0
295,29.8333333,15.9465175,1.0,16.0
296,29.8666667,15.9731684,1.0,16.0
297,29.9,15.9989935,1.0,16.0
298,29.9333333,16.0240373,1.0,16.0
