cycle,real_drel,ow_drel,phi
304,58.0300436,58.0300436,17.010574339999998
305,57.62376990000007,57.6237699,16.754062560000072
306,57.226232499999924,57.2262324,16.512318559999926
307,56.83796970000003,56.8379697,16.284601880000032
308,56.45943090000003,56.4594309,16.070119420000033
309,56.09097919999999,56.0909792,15.868047219999994
310,55.73289580000005,55.7328958,15.677550260000054
311,55.385386100000005,55.3853861,15.49779878000001
312,55.048585,55.048585,15.32798142
313,54.72256360000006,54.7225636,15.167314720000057
314,54.407335699999976,54.4073357,15.015052279999978
315,54.10286479999991,54.1028647,14.870489659999905
316,53.80906970000001,53.8090697,14.732968440000015
317,53.52583190000007,53.5258319,14.601879420000074
318,53.253000600000064,53.2530006,14.476662300000072
319,52.99039879999998,52.9903988,14.356806599999985
320,52.73782829999993,52.7378282,14.241850079999935
321,52.495073899999966,52.4950739,14.131377199999967
322,52.26190870000005,52.2619087,14.02501686000005
323,52.03809669999998,52.0380967,13.922439399999988
324,51.82339689999992,51.8233969,13.823354399999921
325,51.61756580000008,51.6175658,13.727506320000082
326,51.42035980000003,51.4203598,13.634672280000032
327,51.23153769999999,51.2315376,13.544658959999992
328,51.050861600000076,51.0508616,13.45729818000008
329,50.878099099999986,50.8780992,13.372445459999987
330,50.713024099999984,50.7130241,13.289976199999984
331,50.5554171,50.5554171,13.209783180000002
332,50.405066499999975,50.4050665,13.131774079999978
333,50.2617684999999,50.2617685,13.05586927999991
334,50.12532759999999,50.1253276,12.981999699999996
335,49.99555620000001,49.9955562,12.910104860000011
336,49.872275100000024,49.8722751,12.840131420000027
337,49.755312799999956,49.7553128,12.772031779999956
338,49.64450550000004,49.6445055,12.705762540000045
339,49.53969689999997,49.5396969,12.64128373999997
340,49.440737499999955,49.4407375,12.578557879999963
341,49.347484399999985,49.3474844,12.517548879999985
342,49.259800799999994,49.2598008,12.458222
343,49.177555700000084,49.1775557,12.400542840000092
344,49.10062359999995,49.1006236,12.344477599999948
