cycle,pangle,af,cmode
644,24.7666667,15.6747176,1.0
645,24.8,15.6706751,1.0
646,24.8333333,15.6666953,1.0
647,24.8666667,15.6627841,1.0
648,24.9,15.6589471,1.0
649,24.9333333,15.6551895,1.0
650,24.9666667,15.6515163,1.0
651,25.0,15.6479171,1.0
652,25.0333333,15.6443531,1.0
653,25.0666667,15.6408231,1.0
654,25.1,15.6373345,1.0
655,25.1333333,15.6338941,1.0
656,25.1666667,15.6305084,1.0
657,25.2,15.6271833,1.0
658,25.2333333,15.6239246,1.0
659,25.2666667,15.6207375,1.0
660,25.3,15.617627,1.0
661,25.3333333,15.6145947,1.0
662,25.3666667,15.6116079,1.0
663,25.4,15.6086479,1.0
664,25.4333333,15.6057207,1.0
665,25.4666667,15.6028331,1.0
666,25.5,15.5999917,1.0
667,25.5333333,15.5972027,1.0
668,25.5666667,15.5944718,1.0
669,25.6,15.5918044,1.0
670,25.6333333,15.5892057,1.0
671,25.6666667,15.5866805,1.0
672,25.7,15.5842163,1.0
673,25.7333333,15.5817751,1.0
674,25.7666667,15.579358,1.0
675,25.8,15.5769722,1.0
676,25.8333333,15.5746243,1.0
677,25.8666667,15.5723208,1.0
678,25.9,15.5700675,1.0
679,25.9333333,15.56787,1.0
680,25.9666667,15.5657335,1.0
681,26.0,15.5636631,1.0
682,26.0333333,15.5616567,1.0
683,26.0666667,15.5596795,1.0
684,26.1,15.5577196,1.0
685,26.1333333,15.5557831,1.0
686,26.1666667,15.5538771,1.0
687,26.2,15.552008,1.0
688,26.2333333,15.5501819,1.0
689,26.2666667,15.5484045,1.0
690,26.3,15.5466812,1.0
691,26.3333333,15.5450171,1.0
692,26.3666667,15.5434169,1.0
693,26.4,15.5418519,1.0
694,26.4333333,15.5402983,1.0
695,26.4666667,15.5387613,1.0
696,26.5,15.5372479,1.0
697,26.5333333,15.5357649,1.0
698,26.5666667,15.5343183,1.0
699,26.6,15.5329141,1.0
700,26.6333333,15.5315578,1.0
701,26.6666667,15.5302545,1.0
702,26.7,15.5290091,1.0
703,26.7333333,15.5278075,1.0
704,26.7666667,15.5266129,1.0
705,26.8,15.5254288,1.0
706,26.8333333,15.5242624,1.0
707,26.8666667,15.5231204,1.0
708,26.9,15.5220091,1.0
709,26.9333333,15.5209345,1.0
710,26.9666667,15.5199026,1.0
711,27.0,15.518919,1.0
712,27.0333333,15.5179889,1.0
713,27.0666667,15.5170325,1.0
714,27.1,15.5157502,1.0
715,27.1333333,15.514096,1.0
716,27.1666667,15.5121034,1.0
717,27.2,15.5098041,1.0
718,27.2333333,15.5072283,1.0
719,27.2666667,15.5044042,1.0
720,27.3,15.501359,1.0
721,27.3333333,15.4981178,1.0
722,27.3666667,15.4946859,1.0
723,27.4,15.491032,1.0
724,27.4333333,15.4871748,1.0
725,27.4666667,15.4831389,1.0
726,27.5,15.4789473,1.0
727,27.5333333,15.474622,1.0
728,27.5666667,15.4701835,1.0
729,27.6,15.4656513,1.0
730,27.6333333,15.4610439,1.0
731,27.6666667,15.4563578,1.0
732,27.7,15.4515667,1.0
733,27.7333333,15.4466865,1.0
734,27.7666667,15.4417352,1.0
735,27.8,15.4367298,1.0
736,27.8333333,15.4316864,1.0
737,27.8666667,15.4266202,1.0
738,27.9,15.4215454,1.0
739,27.9333333,15.4164756,1.0
740,27.9666667,15.4114,1.0
741,28.0,15.4062908,1.0
742,28.0333333,15.4011598,1.0
743,28.0666667,15.396021,1.0
744,28.1,15.3908877,1.0
745,28.1333333,15.3857722,1.0
746,28.1666667,15.3806862,1.0
747,28.2,15.3756407,1.0
748,28.2333333,15.370646,1.0
749,28.2666667,15.3656889,1.0
750,28.3,15.3607386,1.0
751,28.3333333,15.3558042,1.0
752,28.3666667,15.3508958,1.0
753,28.4,15.346023,1.0
754,28.4333333,15.3411947,1.0
755,28.4666667,15.3364192,1.0
756,28.5,15.3317044,1.0
757,28.5333333,15.3270576,1.0
758,28.5666667,15.3224858,1.0
759,28.6,15.3179811,1.0
760,28.6333333,15.313507,1.0
761,28.6666667,15.3090636,1.0
762,28.7,15.3046598,1.0
763,28.7333333,15.3003038,1.0
764,28.7666667,15.2960033,1.0
765,28.8,15.2917657,1.0
766,28.8333333,15.2875979,1.0
767,28.8666667,15.2835062,1.0
768,28.9,15.2794966,1.0
769,28.9333333,15.2755728,1.0
770,28.9666667,15.2717038,1.0
771,29.0,15.2678707,1.0
772,29.0333333,15.2640799,1.0
773,29.0666667,15.2603389,1.0
774,29.1,15.2566549,1.0
775,29.1333333,15.2530349,1.0
776,29.1666667,15.249485,1.0
777,29.2,15.2460113,1.0
778,29.2333333,15.2426193,1.0
779,29.2666667,15.2393142,1.0
780,29.3,15.2360874,1.0
781,29.3333333,15.2329016,1.0
782,29.3666667,15.2297547,1.0
783,29.4,15.2266541,1.0
784,29.4333333,15.2236069,1.0
785,29.4666667,15.2206196,1.0
786,29.5,15.2176983,1.0
787,29.5333333,15.2148487,1.0
788,29.5666667,15.2120763,1.0
789,29.6,15.209386,1.0
790,29.6333333,15.2067808,1.0
791,29.6666667,15.2042294,1.0
792,29.7,15.2017123,1.0
793,29.7333333,15.1992349,1.0
794,29.7666667,15.1968042,1.0
795,29.8,15.1944267,1.0
796,29.8333333,15.1921084,1.0
797,29.8666667,15.1898551,1.0
798,29.9,15.1876721,1.0
799,29.9333333,15.1855645,1.0
800,29.9666667,15.1835368,1.0
801,30.0,15.1815799,1.0
802,30.0333333,15.1796565,1.0
803,30.0666667,15.1777646,1.0
804,30.1,15.1759111,1.0
805,30.1333333,15.1741027,1.0
806,30.1666667,15.1723454,1.0
807,30.2,15.1706451,1.0
808,30.2333333,15.1690072,1.0
809,30.2666667,15.1674368,1.0
810,30.3,15.1659386,1.0
811,30.3333333,15.1645146,1.0
812,30.3666667,15.1631336,1.0
813,30.4,15.161777,1.0
814,30.4333333,15.16045,1.0
815,30.4666667,15.1591596,1.0
816,30.5,15.1579118,1.0
817,30.5333333,15.1567126,1.0
818,30.5666667,15.1555676,1.0
819,30.6,15.154482,1.0
820,30.6333333,15.1534607,1.0
821,30.6666667,15.1525082,1.0
